battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
553,0,2.4,1,1.0,1.0,8.0,0.5,121.0,7.0,3.0,325.0,902.0,1204.0,11.0,4.0,8,1,1,1,0
832,0,0.7,1,2.0,1.0,39.0,0.7,103.0,4.0,3.0,125.0,1504.0,1799.0,5.0,2.0,11,1,0,1,1
1661,0,1.9,1,5.0,0.0,23.0,1.0,172.0,5.0,10.0,846.0,1634.0,2676.0,12.0,6.0,11,0,1,1,3
1657,1,2.4,0,3.0,0.0,42.0,0.1,198.0,5.0,16.0,1770.0,1796.0,2597.0,18.0,1.0,14,1,0,0,3
1135,1,2.0,1,0.0,0.0,46.0,0.3,83.0,1.0,4.0,293.0,1846.0,3029.0,19.0,17.0,9,1,1,1,3
1775,1,1.5,0,3.0,0.0,41.0,0.1,163.0,1.0,7.0,1633.0,1869.0,2343.0,19.0,13.0,14,1,1,1,3
783,0,1.8,1,0.0,1.0,43.0,1.0,106.0,3.0,4.0,1198.0,1471.0,2016.0,16.0,4.0,18,1,1,0,1
617,1,2.3,0,0.0,0.0,32.0,0.5,199.0,7.0,20.0,768.0,874.0,2213.0,18.0,13.0,7,0,0,0,1
867,0,1.4,1,0.0,1.0,4.0,0.7,135.0,6.0,1.0,70.0,1974.0,790.0,13.0,6.0,3,1,1,0,0
1310,1,1.1,1,13.0,0.0,7.0,1.0,194.0,5.0,14.0,117.0,513.0,3182.0,8.0,4.0,5,1,1,0,2
1804,0,0.5,0,9.0,1.0,22.0,0.6,153.0,7.0,19.0,1158.0,1244.0,3472.0,9.0,1.0,20,1,0,1,3
1900,1,2.3,0,1.0,1.0,18.0,0.2,89.0,7.0,9.0,1055.0,1661.0,2871.0,12.0,1.0,13,1,1,1,3
909,1,1.4,0,0.0,0.0,53.0,0.3,82.0,8.0,0.0,635.0,973.0,3187.0,12.0,9.0,4,1,0,0,2
1084,1,2.6,0,3.0,1.0,40.0,0.9,107.0,3.0,11.0,322.0,771.0,1945.0,15.0,4.0,10,1,1,0,1
1308,0,1.3,1,8.0,0.0,46.0,0.9,199.0,1.0,12.0,275.0,989.0,488.0,5.0,3.0,9,0,1,0,0
1778,0,0.5,0,0.0,0.0,15.0,0.5,102.0,3.0,0.0,1445.0,1954.0,1214.0,5.0,0.0,14,1,0,0,1
1701,1,1.6,1,3.0,0.0,10.0,0.3,194.0,8.0,7.0,550.0,1338.0,2598.0,12.0,9.0,6,0,1,0,2
772,1,2.4,1,1.0,1.0,10.0,0.5,80.0,4.0,2.0,1242.0,1712.0,3242.0,18.0,11.0,4,1,1,0,3
825,1,0.5,1,7.0,0.0,52.0,0.9,130.0,3.0,10.0,597.0,863.0,3534.0,10.0,4.0,6,0,1,0,3
1379,0,1.1,0,5.0,1.0,36.0,0.8,200.0,2.0,7.0,538.0,1376.0,3426.0,5.0,4.0,17,1,1,1,3
1166,0,2.0,0,3.0,1.0,25.0,0.8,198.0,5.0,4.0,59.0,1203.0,2488.0,13.0,5.0,15,1,0,0,2
1659,0,2.8,0,5.0,0.0,16.0,0.6,89.0,1.0,20.0,819.0,902.0,3255.0,19.0,14.0,9,0,0,1,3
826,1,2.4,1,0.0,1.0,58.0,0.3,88.0,4.0,1.0,179.0,786.0,2863.0,9.0,3.0,18,1,0,1,2
1564,0,2.3,0,4.0,1.0,25.0,0.5,189.0,6.0,17.0,1259.0,1965.0,1496.0,6.0,4.0,7,1,1,1,1
1957,0,0.9,1,11.0,0.0,31.0,0.6,181.0,3.0,16.0,396.0,1732.0,3801.0,12.0,0.0,7,1,0,1,3
1571,0,1.4,0,0.0,1.0,19.0,0.1,100.0,6.0,1.0,713.0,1398.0,666.0,12.0,10.0,13,1,1,0,0
1414,0,2.0,1,2.0,0.0,54.0,0.8,99.0,7.0,3.0,262.0,829.0,3799.0,17.0,7.0,7,1,0,1,3
1790,0,2.5,1,9.0,0.0,2.0,0.1,184.0,1.0,14.0,622.0,792.0,1366.0,7.0,0.0,20,1,1,1,1
645,0,0.5,0,1.0,0.0,41.0,1.0,197.0,7.0,10.0,327.0,580.0,2962.0,12.0,9.0,4,1,1,1,2
668,0,2.9,1,7.0,0.0,30.0,0.2,195.0,8.0,12.0,522.0,1056.0,2399.0,10.0,5.0,7,1,1,1,1
1652,1,1.1,1,1.0,0.0,36.0,0.7,89.0,4.0,5.0,313.0,1264.0,2338.0,12.0,8.0,20,0,0,0,2
1213,1,0.5,0,0.0,0.0,16.0,0.5,108.0,5.0,0.0,226.0,1248.0,2700.0,12.0,3.0,9,0,0,1,2
1272,1,2.5,1,0.0,0.0,22.0,0.9,133.0,6.0,8.0,605.0,669.0,2235.0,19.0,4.0,4,1,0,0,1
866,0,0.5,1,5.0,1.0,46.0,0.5,179.0,8.0,7.0,692.0,1686.0,3825.0,12.0,11.0,2,1,1,1,3
536,0,2.4,1,12.0,1.0,3.0,0.3,182.0,7.0,14.0,1386.0,1539.0,284.0,12.0,9.0,4,1,1,0,0
523,0,2.6,1,1.0,0.0,14.0,0.1,155.0,8.0,2.0,304.0,1042.0,1427.0,9.0,1.0,9,0,1,0,0
1753,0,0.5,1,0.0,1.0,31.0,0.1,134.0,1.0,18.0,1590.0,1926.0,1324.0,17.0,0.0,17,1,0,1,2
1218,0,1.8,1,1.0,1.0,14.0,0.5,147.0,3.0,4.0,229.0,616.0,398.0,17.0,0.0,5,1,0,0,0
1537,1,2.5,0,4.0,1.0,43.0,0.3,137.0,1.0,5.0,839.0,1131.0,3685.0,18.0,17.0,17,1,1,1,3
786,0,2.2,1,0.0,0.0,33.0,0.5,141.0,7.0,6.0,507.0,1697.0,2390.0,12.0,11.0,5,1,0,1,2
1678,0,2.1,0,3.0,1.0,64.0,0.9,134.0,3.0,11.0,436.0,536.0,278.0,19.0,0.0,10,1,1,0,0
1814,0,1.4,1,1.0,1.0,9.0,0.4,141.0,2.0,2.0,756.0,786.0,3556.0,18.0,12.0,16,1,0,0,3
1101,0,1.8,0,0.0,0.0,31.0,0.2,148.0,2.0,7.0,387.0,1269.0,2196.0,12.0,6.0,19,0,1,1,1
1461,0,2.4,1,3.0,1.0,40.0,0.5,141.0,7.0,4.0,1265.0,1298.0,3799.0,16.0,1.0,4,1,0,0,3
1216,0,3.0,0,4.0,0.0,47.0,0.4,199.0,3.0,7.0,1852.0,1967.0,2268.0,13.0,5.0,4,0,1,1,2
506,0,1.6,0,6.0,1.0,41.0,0.8,159.0,1.0,7.0,875.0,1025.0,2965.0,13.0,10.0,15,1,0,0,2
843,1,0.5,0,1.0,1.0,56.0,0.1,147.0,5.0,17.0,140.0,800.0,2341.0,10.0,1.0,20,1,1,1,1
742,0,2.2,1,4.0,0.0,56.0,0.2,190.0,7.0,14.0,577.0,1359.0,3557.0,16.0,11.0,12,0,1,1,3
1692,1,2.1,0,3.0,1.0,61.0,0.9,176.0,6.0,12.0,975.0,1996.0,1354.0,16.0,7.0,19,1,0,0,1
1485,0,1.0,0,2.0,1.0,32.0,0.7,84.0,2.0,9.0,510.0,1013.0,2147.0,19.0,1.0,11,1,1,0,2
1547,0,2.9,1,6.0,0.0,45.0,0.7,166.0,2.0,8.0,583.0,590.0,505.0,12.0,2.0,3,0,1,1,0
1692,0,2.3,1,4.0,1.0,46.0,0.9,139.0,1.0,6.0,674.0,1925.0,1394.0,16.0,10.0,6,1,1,0,1
637,0,2.3,0,3.0,1.0,60.0,0.8,97.0,4.0,4.0,1125.0,1989.0,374.0,18.0,4.0,8,1,0,1,0
1224,0,0.5,0,4.310275689223058,1.0,32.04812030075188,0.5022556390977444,140.26653306613227,4.0,10.0,747.0,826.0,506.0,10.0,0.0,11,1,1,1,0
1356,0,2.8,0,4.310275689223058,1.0,32.04812030075188,0.5022556390977444,140.26653306613227,4.0,10.0,1612.0,1983.0,3702.0,17.0,0.0,19,0,0,0,3
1840,0,0.5,1,12.0,0.0,34.0,0.7,142.0,1.0,16.0,311.0,1545.0,1078.0,8.0,0.0,10,0,0,0,1
1481,1,0.7,1,4.0,1.0,37.0,0.6,96.0,5.0,13.0,116.0,1533.0,2945.0,10.0,5.0,16,1,1,1,2
961,1,1.5,1,10.0,0.0,51.0,0.3,152.0,6.0,16.0,554.0,621.0,2981.0,15.0,6.0,7,1,1,1,2
1296,0,0.9,1,0.0,1.0,14.0,0.5,124.0,5.0,3.0,811.0,1272.0,490.0,7.0,1.0,4,1,1,1,0
1193,0,0.9,0,11.0,0.0,26.0,0.5,166.0,1.0,20.0,730.0,1729.0,536.0,17.0,14.0,4,1,0,1,0
1441,0,2.1,1,11.0,1.0,3.0,0.1,118.0,8.0,17.0,577.0,1071.0,2317.0,16.0,4.0,7,1,0,1,2
517,0,1.4,1,3.0,1.0,33.0,0.8,183.0,4.0,8.0,660.0,974.0,3704.0,17.0,16.0,11,1,0,1,3
748,1,1.7,0,0.0,1.0,27.0,0.9,150.0,8.0,4.0,450.0,1554.0,2126.0,18.0,9.0,7,1,0,0,1
1126,1,2.4,0,2.0,1.0,10.0,0.4,160.0,6.0,3.0,1223.0,1611.0,2050.0,7.0,6.0,12,1,1,1,2
1572,0,0.6,0,0.0,1.0,58.0,0.2,157.0,7.0,8.0,1109.0,1937.0,2462.0,12.0,8.0,10,1,0,0,3
1569,0,2.8,1,17.0,0.0,44.0,0.3,110.0,4.0,20.0,45.0,1942.0,1260.0,9.0,2.0,17,1,0,0,1
1270,1,0.6,1,2.0,1.0,32.0,0.5,101.0,7.0,6.0,299.0,845.0,3770.0,5.0,3.0,13,1,1,0,3
1854,0,3.0,0,2.0,1.0,8.0,0.1,101.0,5.0,5.0,506.0,627.0,1886.0,17.0,4.0,20,1,1,0,1
625,1,1.2,1,5.0,1.0,10.0,0.2,183.0,4.0,8.0,635.0,842.0,3323.0,9.0,1.0,7,1,1,1,2
1577,0,0.5,1,0.0,1.0,42.0,0.3,197.0,5.0,4.0,1045.0,1737.0,2060.0,19.0,6.0,12,1,0,0,2
534,0,0.5,1,0.0,1.0,16.0,1.0,189.0,5.0,1.0,393.0,1199.0,3926.0,16.0,12.0,20,1,0,0,3
946,0,1.7,1,8.0,1.0,25.0,0.8,143.0,6.0,15.0,650.0,1740.0,2177.0,7.0,5.0,13,1,1,1,2
685,0,0.5,0,2.0,0.0,29.0,0.8,93.0,7.0,10.0,433.0,648.0,728.0,14.0,8.0,4,0,0,1,0
1949,0,1.3,1,0.0,0.0,23.0,0.1,101.0,5.0,1.0,839.0,1136.0,2478.0,14.0,8.0,20,1,0,0,3
947,0,0.8,1,0.0,1.0,22.0,0.1,197.0,2.0,13.0,1176.0,1220.0,2842.0,16.0,12.0,2,1,0,0,2
801,1,2.2,1,2.0,0.0,63.0,0.4,165.0,7.0,4.0,650.0,879.0,1617.0,17.0,4.0,19,0,0,1,1
703,1,2.7,0,12.0,1.0,30.0,0.3,113.0,1.0,20.0,218.0,1065.0,1472.0,14.0,7.0,7,1,0,0,0
1165,1,2.4,0,11.0,0.0,41.0,0.2,178.0,6.0,12.0,564.0,831.0,764.0,19.0,12.0,15,1,0,0,0
1082,0,0.8,0,0.0,0.0,38.0,0.1,198.0,8.0,5.0,986.0,1191.0,2337.0,6.0,1.0,17,0,1,1,2
959,1,2.6,1,15.0,0.0,20.0,1.0,84.0,4.0,19.0,561.0,1631.0,3965.0,16.0,1.0,6,1,0,0,3
1502,1,1.2,0,0.0,0.0,54.0,0.2,138.0,5.0,12.0,65.0,588.0,3693.0,17.0,14.0,16,1,1,0,3
1380,1,2.1,1,1.0,1.0,4.0,0.8,92.0,3.0,13.0,420.0,500.0,797.0,13.0,2.0,15,1,1,0,0
1266,0,0.5,0,0.0,1.0,5.0,0.1,95.0,6.0,9.0,1365.0,1698.0,1687.0,11.0,0.0,18,1,0,0,2
1934,1,2.6,1,0.0,1.0,46.0,0.1,103.0,1.0,17.0,619.0,1299.0,2940.0,13.0,9.0,2,1,1,1,3
1905,1,0.5,0,3.0,1.0,6.0,0.5,151.0,1.0,5.0,849.0,898.0,1545.0,9.0,5.0,10,1,1,0,1
1831,0,1.4,1,2.0,0.0,43.0,0.9,150.0,5.0,5.0,611.0,1381.0,3834.0,17.0,7.0,13,1,1,1,3
596,0,1.4,0,8.0,0.0,46.0,0.6,165.0,1.0,18.0,953.0,984.0,2505.0,15.0,4.0,15,1,1,0,1
1562,1,1.3,1,1.0,1.0,7.0,0.2,190.0,5.0,15.0,642.0,1533.0,2243.0,12.0,10.0,6,1,0,0,2
1490,1,0.5,1,4.0,1.0,64.0,0.3,150.0,8.0,8.0,1417.0,1464.0,3600.0,17.0,9.0,7,1,1,1,3
1523,1,2.4,0,5.0,1.0,57.0,0.2,117.0,2.0,6.0,247.0,539.0,3971.0,18.0,12.0,10,1,1,1,3
640,0,0.6,0,0.0,0.0,20.0,0.1,163.0,4.0,15.0,710.0,1179.0,2844.0,7.0,5.0,18,1,1,0,2
